nome,ano,genero,generos_full,plataforma,plataformas_full,publisher,developer,nota,faixa_etaria,descricao,popularidade,playtime,tamanho_jogo,ratings_count,suggestions_count,engajamento_bruto,palavras_chave
Borderlands 2,2012,Action,Action||Shooter||RPG,PC,PC||PlayStation 3||Xbox 360||PlayStation 4||macOS||Xbox One,2K Games,Aspyr Media,4.0,+17,Borderlands 2 é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.6934,10,medio,2235,660,11742.0,borderlands 2 action||shooter||rpg pc||playstation 3||xbox 360||playstation 4||macos||xbox one 2k games aspyr media
Red Dead Redemption 2,2018,Action,Action||Adventure,PC,PC||Xbox One||PlayStation 4,Rockstar Games,Rockstar Games,4.6,+17,Red Dead Redemption 2 é um jogo de Action lançado em 2018 para PC. Ele possui nota média aproximada de 4.6/5 na base RAWG.,0.6792,20,medio,2949,645,11500.5,red dead redemption 2 action||adventure pc||xbox one||playstation 4 rockstar games rockstar games
BioShock,2007,Action,Action||Shooter,Xbox One,Xbox One||PC||PlayStation 4||PlayStation 3||macOS||iOS||Xbox 360,2K Games,Digital Extremes,4.4,+17,BioShock é um jogo de Action lançado em 2007 para Xbox One. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.6751,3,curto,2295,654,11431.5,bioshock action||shooter xbox one||pc||playstation 4||playstation 3||macos||ios||xbox 360 2k games digital extremes
God of War,2018,Action,Action||Adventure,PlayStation 4,PlayStation 4,Sony Interactive Entertainment,SCE Santa Monica Studio,4.6,+17,God of War é um jogo de Action lançado em 2018 para PlayStation 4. Ele possui nota média aproximada de 4.6/5 na base RAWG.,0.6524,20,medio,2904,629,11047.0,god of war action||adventure playstation 4 sony interactive entertainment sce santa monica studio
Limbo,2010,Action,Action||Adventure||Indie||Puzzle||Platformer,PC,PC||iOS||Linux||macOS||Android||Xbox One||Xbox 360||PlayStation 3||PlayStation 4||Nintendo Switch||PS Vita,Microsoft Studios,Double Eleven,4.2,+13,Limbo é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.6475,3,curto,2239,222,10964.5,limbo action||adventure||indie||puzzle||platformer pc||ios||linux||macos||android||xbox one||xbox 360||playstation 3||playstation 4||nintendo switch||ps vita microsoft studios double eleven
Counter-Strike: Global Offensive,2012,Action,Action||Shooter,PC,PC||Xbox 360||PlayStation 3,Valve,Valve Software,3.6,+17,Counter-Strike: Global Offensive é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.6341,59,longo,2089,608,10738.0,counter-strike: global offensive action||shooter pc||xbox 360||playstation 3 valve valve software
DOOM (2016),2016,Action,Action||Shooter,PC,PC||Nintendo Switch||PlayStation 4||Xbox One,Bethesda Softworks,Bethesda Softworks,4.4,+17,DOOM (2016) é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.6306,11,medio,2424,668,10678.5,doom (2016) action||shooter pc||nintendo switch||playstation 4||xbox one bethesda softworks bethesda softworks
The Walking Dead: Season 1,2012,Action,Action||Adventure,iOS,iOS||macOS||PC||Android||Nintendo Switch||PlayStation 3||Xbox One||PlayStation 4||PS Vita||Xbox 360,Telltale Games,Telltale Games,4.3,+17,The Walking Dead: Season 1 é um jogo de Action lançado em 2012 para iOS. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.589,8,medio,1608,950,9974.0,the walking dead: season 1 action||adventure ios||macos||pc||android||nintendo switch||playstation 3||xbox one||playstation 4||ps vita||xbox 360 telltale games telltale games
Uncharted 4: A Thief’s End,2016,Action,Action||Adventure,PlayStation 4,PlayStation 4,Sony Computer Entertainment,Naughty Dog,4.5,+13,Uncharted 4: A Thief’s End é um jogo de Action lançado em 2016 para PlayStation 4. Ele possui nota média aproximada de 4.5/5 na base RAWG.,0.5868,0,curto,2526,697,9937.0,uncharted 4: a thief’s end action||adventure playstation 4 sony computer entertainment naughty dog
Horizon Zero Dawn,2017,Action,Action||Adventure||RPG,PC,PC||PlayStation 4,Sony Computer Entertainment,Guerrilla Games,4.4,+13,Horizon Zero Dawn é um jogo de Action lançado em 2017 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.5803,7,medio,2440,634,9827.0,horizon zero dawn action||adventure||rpg pc||playstation 4 sony computer entertainment guerrilla games
Grand Theft Auto IV,2008,Action,Action||Adventure,PC,PC||Xbox One||PlayStation 3||Xbox 360,Capcom,Rockstar North,4.2,+17,Grand Theft Auto IV é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.5656,9,medio,1858,509,9577.5,grand theft auto iv action||adventure pc||xbox one||playstation 3||xbox 360 capcom rockstar north
Fallout 4,2015,Action,Action||RPG,PC,PC||Xbox One||PlayStation 4,Bethesda Softworks,Bethesda Game Studios,3.8,N/A,Fallout 4 é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.5617,45,longo,2207,435,9511.5,fallout 4 action||rpg pc||xbox one||playstation 4 bethesda softworks bethesda game studios
Rise of the Tomb Raider,2015,Action,Action||Platformer,PC,PC||Xbox One||PlayStation 4||macOS,Microsoft Studios,Feral Interactive,4.0,N/A,Rise of the Tomb Raider é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.5532,15,medio,1727,686,9367.0,rise of the tomb raider action||platformer pc||xbox one||playstation 4||macos microsoft studios feral interactive
Team Fortress 2,2007,Action,Action||Shooter,PC,PC||Linux||macOS,Valve,Valve Software,3.7,N/A,Team Fortress 2 é um jogo de Action lançado em 2007 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.5494,9,medio,1922,545,9303.0,team fortress 2 action||shooter pc||linux||macos valve valve software
Marvel's Spider-Man,2018,Action,Action||Adventure,PlayStation 4,PlayStation 4,Sony Computer Entertainment,Insomniac Games,4.5,+13,Marvel's Spider-Man é um jogo de Action lançado em 2018 para PlayStation 4. Ele possui nota média aproximada de 4.5/5 na base RAWG.,0.5382,6,medio,2325,587,9113.5,marvel's spider-man action||adventure playstation 4 sony computer entertainment insomniac games
Metal Gear Solid V: The Phantom Pain,2015,Action,Action||Shooter,PC,PC||Xbox One||Xbox 360||PlayStation 3||PlayStation 4,Konami,Konami Digital Entertainment,4.2,+17,Metal Gear Solid V: The Phantom Pain é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.534,28,longo,1785,527,9043.0,metal gear solid v: the phantom pain action||shooter pc||xbox one||xbox 360||playstation 3||playstation 4 konami konami digital entertainment
Batman: Arkham Knight,2015,Action,Action,PC,PC||Xbox One||PlayStation 4,Warner Bros. Interactive,Warner Bros. Interactive,4.2,+17,Batman: Arkham Knight é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.5301,20,medio,1708,633,8976.0,batman: arkham knight action pc||xbox one||playstation 4 warner bros. interactive warner bros. interactive
PAYDAY 2,2013,Action,Action||Shooter,PC,PC||Linux||Xbox One,505 Games,505 Games,3.5,+18,PAYDAY 2 é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.5276,9,medio,1358,461,8934.5,payday 2 action||shooter pc||linux||xbox one 505 games 505 games
Destiny 2,2017,Action,Action||Shooter||Massively Multiplayer,PlayStation 5,PlayStation 5||Web||Xbox Series S/X||PC||Xbox One||PlayStation 4,Activision Blizzard,Vicarious Visions,3.6,+13,Destiny 2 é um jogo de Action lançado em 2017 para PlayStation 5. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.5261,3,curto,1690,675,8909.5,destiny 2 action||shooter||massively multiplayer playstation 5||web||xbox series s/x||pc||xbox one||playstation 4 activision blizzard vicarious visions
Metro 2033,2010,Action,Action||Shooter,PC,PC||Xbox 360,Deep Silver,4A Games,3.9,+17,Metro 2033 é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.5253,3,curto,1377,628,8894.5,metro 2033 action||shooter pc||xbox 360 deep silver 4a games
The Witcher 2: Assassins of Kings Enhanced Edition,2012,RPG,RPG,PC,PC||Xbox 360,1C-SoftClub,CD PROJEKT RED,4.2,+17,The Witcher 2: Assassins of Kings Enhanced Edition é um jogo de RPG lançado em 2012 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.5234,7,medio,1381,707,8862.5,the witcher 2: assassins of kings enhanced edition rpg pc||xbox 360 1c-softclub cd projekt red
Rocket League,2015,Action,Action||Sports||Racing||Indie,Linux,Linux||macOS||PC||PlayStation 4||Xbox One||Nintendo Switch,Psyonix,Psyonix,4.0,LIVRE,Rocket League é um jogo de Action lançado em 2015 para Linux. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.5231,18,medio,1851,603,8858.0,rocket league action||sports||racing||indie linux||macos||pc||playstation 4||xbox one||nintendo switch psyonix psyonix
Middle-earth: Shadow of Mordor,2014,Action,Action||RPG,Linux,Linux||PC||macOS||PlayStation 3||Xbox 360||PlayStation 4||Xbox One,Feral Interactive,Feral Interactive,3.9,+17,Middle-earth: Shadow of Mordor é um jogo de Action lançado em 2014 para Linux. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.5207,14,medio,1693,670,8817.5,middle-earth: shadow of mordor action||rpg linux||pc||macos||playstation 3||xbox 360||playstation 4||xbox one feral interactive feral interactive
The Last Of Us Remastered,2014,Action,Action||Adventure,PlayStation 4,PlayStation 4,Sony Computer Entertainment,Naughty Dog,4.7,+17,The Last Of Us Remastered é um jogo de Action lançado em 2014 para PlayStation 4. Ele possui nota média aproximada de 4.7/5 na base RAWG.,0.5175,16,medio,2129,477,8763.5,the last of us remastered action||adventure playstation 4 sony computer entertainment naughty dog
Mass Effect 2,2010,Action,Action||RPG,Xbox One,Xbox One||PC||PlayStation 3||Xbox 360,Electronic Arts,BioWare,4.5,+17,Mass Effect 2 é um jogo de Action lançado em 2010 para Xbox One. Ele possui nota média aproximada de 4.5/5 na base RAWG.,0.5165,21,longo,2046,624,8746.0,mass effect 2 action||rpg xbox one||pc||playstation 3||xbox 360 electronic arts bioware
Grand Theft Auto: San Andreas,2004,Action,Action||Adventure,Xbox,Xbox||macOS||PC||iOS||Xbox One||Android||PlayStation 3||Xbox 360||PlayStation 2,Capcom,Rockstar North,4.5,+17,Grand Theft Auto: San Andreas é um jogo de Action lançado em 2004 para Xbox. Ele possui nota média aproximada de 4.5/5 na base RAWG.,0.5044,2,curto,2183,486,8541.5,grand theft auto: san andreas action||adventure xbox||macos||pc||ios||xbox one||android||playstation 3||xbox 360||playstation 2 capcom rockstar north
Spec Ops: The Line,2012,Action,Action||Shooter,PC,PC||Xbox One||PlayStation 3||Xbox 360,2K Games,Yager Development,4.1,+17,Spec Ops: The Line é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.504,5,curto,1307,598,8535.0,spec ops: the line action||shooter pc||xbox one||playstation 3||xbox 360 2k games yager development
Half-Life 2: Episode One,2006,Action,Action||Shooter,PC,PC||macOS||Android||Xbox 360||Linux,Valve,Valve Software,4.4,+17,Half-Life 2: Episode One é um jogo de Action lançado em 2006 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.5025,4,curto,1288,333,8508.5,half-life 2: episode one action||shooter pc||macos||android||xbox 360||linux valve valve software
BioShock 2,2010,Action,Action||Shooter,PlayStation 4,PlayStation 4||PC||Nintendo Switch||Xbox One||PlayStation 3||Xbox 360||macOS,2K Games,Feral Interactive,4.1,N/A,BioShock 2 é um jogo de Action lançado em 2010 para PlayStation 4. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.5023,3,curto,1290,659,8506.5,bioshock 2 action||shooter playstation 4||pc||nintendo switch||xbox one||playstation 3||xbox 360||macos 2k games feral interactive
Half-Life 2: Episode Two,2007,Shooter,Shooter,macOS,macOS||PC||Android||Xbox 360||Linux,Valve,Valve Software,4.4,+17,Half-Life 2: Episode Two é um jogo de Shooter lançado em 2007 para macOS. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4939,5,curto,1265,310,8363.5,half-life 2: episode two shooter macos||pc||android||xbox 360||linux valve valve software
Hotline Miami,2012,Action,Action||Shooter||Arcade||Indie,Nintendo Switch,Nintendo Switch||Linux||PC||PS Vita||PlayStation 4||Xbox One,Devolver Digital,Devolver Digital,4.3,N/A,Hotline Miami é um jogo de Action lançado em 2012 para Nintendo Switch. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.493,5,curto,1715,363,8347.5,hotline miami action||shooter||arcade||indie nintendo switch||linux||pc||ps vita||playstation 4||xbox one devolver digital devolver digital
Half-Life 2: Lost Coast,2005,Action,Action,PC,PC||Linux||macOS,Valve,Valve Software,3.4,+17,Half-Life 2: Lost Coast é um jogo de Action lançado em 2005 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.4925,1,curto,787,316,8340.0,half-life 2: lost coast action pc||linux||macos valve valve software
Wolfenstein: The New Order,2014,Action,Action||Shooter,PC,PC||PlayStation 3||Xbox 360||PlayStation 4||Xbox One,Bethesda Softworks,Bethesda Softworks,4.2,N/A,Wolfenstein: The New Order é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.4917,13,medio,1646,710,8326.0,wolfenstein: the new order action||shooter pc||playstation 3||xbox 360||playstation 4||xbox one bethesda softworks bethesda softworks
HITMAN,2017,Action,Action||Shooter,Linux,Linux||macOS||PC||Xbox One||PlayStation 4,Square Enix,Feral Interactive,3.9,+18,HITMAN é um jogo de Action lançado em 2017 para Linux. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.4908,7,medio,1371,586,8311.0,hitman action||shooter linux||macos||pc||xbox one||playstation 4 square enix feral interactive
Far Cry 3,2012,Action,Action||Shooter,PC,PC||PlayStation 3||Xbox 360||PlayStation 4||Xbox One,Ubisoft Entertainment,Ubisoft,4.2,+17,Far Cry 3 é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.4894,16,medio,1726,648,8287.0,far cry 3 action||shooter pc||playstation 3||xbox 360||playstation 4||xbox one ubisoft entertainment ubisoft
Dota 2,2013,Action,Action||Massively Multiplayer,Linux,Linux||macOS||PC,Valve,Valve Software,3.1,N/A,Dota 2 é um jogo de Action lançado em 2013 para Linux. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.4873,13,medio,1694,396,8252.0,dota 2 action||massively multiplayer linux||macos||pc valve valve software
Saints Row: The Third,2011,Action,Action||Adventure,Xbox One,Xbox One||PC||Linux||PlayStation 3||Xbox 360,THQ,Volition,3.9,+17,Saints Row: The Third é um jogo de Action lançado em 2011 para Xbox One. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.4843,14,medio,1344,643,8201.5,saints row: the third action||adventure xbox one||pc||linux||playstation 3||xbox 360 thq volition
Alan Wake,2010,Action,Action||Shooter||Adventure,PC,PC||Xbox One||Xbox 360,Microsoft Studios,Remedy Entertainment,4.1,+13,Alan Wake é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.4834,5,curto,1419,564,8185.0,alan wake action||shooter||adventure pc||xbox one||xbox 360 microsoft studios remedy entertainment
The Witcher: Enhanced Edition Director's Cut,2008,Action,Action||RPG,PC,PC||macOS,1C-SoftClub,CD PROJEKT RED,4.1,N/A,The Witcher: Enhanced Edition Director's Cut é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.4829,5,curto,1246,687,8177.0,the witcher: enhanced edition director's cut action||rpg pc||macos 1c-softclub cd projekt red
Mirror's Edge,2008,Action,Action||Platformer,PC,PC||PlayStation 3||Xbox 360,Electronic Arts,Electronic Arts DICE,4.1,+13,Mirror's Edge é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.4802,3,curto,1504,358,8131.5,mirror's edge action||platformer pc||playstation 3||xbox 360 electronic arts electronic arts dice
Deus Ex: Mankind Divided,2016,Action,Action||RPG,Linux,Linux||PC||PlayStation 4||Xbox One||macOS,Square Enix,Eidos Montreal,4.0,+17,Deus Ex: Mankind Divided é um jogo de Action lançado em 2016 para Linux. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.4778,9,medio,1372,626,8090.5,deus ex: mankind divided action||rpg linux||pc||playstation 4||xbox one||macos square enix eidos montreal
Warframe,2013,Action,Action||Shooter||Massively Multiplayer,Xbox Series S/X,Xbox Series S/X||PlayStation 5||PC||Nintendo Switch||Xbox One||PlayStation 4,Digital Extremes,Digital Extremes,3.5,+17,Warframe é um jogo de Action lançado em 2013 para Xbox Series S/X. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.4765,7,medio,1332,717,8069.5,warframe action||shooter||massively multiplayer xbox series s/x||playstation 5||pc||nintendo switch||xbox one||playstation 4 digital extremes digital extremes
Dark Souls III,2016,Action,Action||RPG,PC,PC||Xbox One||PlayStation 4,Bandai Namco Entertainment,BANDAI NAMCO Entertainment America,4.4,N/A,Dark Souls III é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4723,28,longo,1610,714,7997.5,dark souls iii action||rpg pc||xbox one||playstation 4 bandai namco entertainment bandai namco entertainment america
Mass Effect,2007,Action,Action||RPG,Xbox One,Xbox One||PC||PlayStation 3||Xbox 360,Electronic Arts,BioWare,4.4,+17,Mass Effect é um jogo de Action lançado em 2007 para Xbox One. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4638,8,medio,1771,546,7854.0,mass effect action||rpg xbox one||pc||playstation 3||xbox 360 electronic arts bioware
Terraria,2011,Action,Action||Indie||Platformer,Nintendo 3DS,Nintendo 3DS||Linux||macOS||Android||Nintendo Switch||iOS||Xbox 360||PS Vita||PlayStation 4||Xbox One||Wii U||PlayStation 3||PC,505 Games,Engine Software,4.0,+13,Terraria é um jogo de Action lançado em 2011 para Nintendo 3DS. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.463,12,medio,1383,367,7839.5,terraria action||indie||platformer nintendo 3ds||linux||macos||android||nintendo switch||ios||xbox 360||ps vita||playstation 4||xbox one||wii u||playstation 3||pc 505 games engine software
Dead Space,2008,Action,Action||Shooter,Xbox One,Xbox One||PC||PlayStation 3||Xbox 360,Electronic Arts,Electronic Arts,4.4,+17,Dead Space é um jogo de Action lançado em 2008 para Xbox One. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4612,2,curto,1449,717,7810.0,dead space action||shooter xbox one||pc||playstation 3||xbox 360 electronic arts electronic arts
Borderlands,2009,Action,Action||Shooter||RPG,Xbox One,Xbox One||PC||PlayStation 3||Xbox 360,2K Games,2K,3.9,+18,Borderlands é um jogo de Action lançado em 2009 para Xbox One. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.4589,10,medio,1394,629,7771.5,borderlands action||shooter||rpg xbox one||pc||playstation 3||xbox 360 2k games 2k
Outlast,2013,Action,Action||Adventure||Indie,Linux,Linux||PC||macOS||Nintendo Switch||Xbox One||PlayStation 4,Red Barrels,Red Barrels,3.7,+17,Outlast é um jogo de Action lançado em 2013 para Linux. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.4564,3,curto,1116,524,7728.5,outlast action||adventure||indie linux||pc||macos||nintendo switch||xbox one||playstation 4 red barrels red barrels
Half-Life,1998,Action,Action||Shooter,PC,PC||Linux||macOS||PlayStation 2,Valve,Valve Software,4.4,+17,Half-Life é um jogo de Action lançado em 1998 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4541,3,curto,1423,514,7689.0,half-life action||shooter pc||linux||macos||playstation 2 valve valve software
L.A. Noire,2011,Action,Action||Adventure,PlayStation 4,PlayStation 4||PC||Xbox One||PlayStation 3||Nintendo Switch||Xbox 360,Rockstar Games,Team Bondi,4.2,+17,L.A. Noire é um jogo de Action lançado em 2011 para PlayStation 4. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.4525,8,medio,1420,472,7663.0,l.a. noire action||adventure playstation 4||pc||xbox one||playstation 3||nintendo switch||xbox 360 rockstar games team bondi
Detroit: Become Human,2018,Action,Action||Adventure,PC,PC||PlayStation 4,Sony Computer Entertainment,Quantic Dream,4.3,+17,Detroit: Become Human é um jogo de Action lançado em 2018 para PC. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.4509,8,medio,1829,501,7635.5,detroit: become human action||adventure pc||playstation 4 sony computer entertainment quantic dream
Amnesia: The Dark Descent,2010,Action,Action||Adventure||Indie,PC,PC||Linux||macOS,Frictional Games,Frictional Games,3.6,+17,Amnesia: The Dark Descent é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.4476,1,curto,796,468,7579.0,amnesia: the dark descent action||adventure||indie pc||linux||macos frictional games frictional games
Sid Meier's Civilization V,2010,Strategy,Strategy,Linux,Linux||macOS||PC,2K Games,Aspyr Media,4.3,+10,Sid Meier's Civilization V é um jogo de Strategy lançado em 2010 para Linux. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.446,25,longo,1397,433,7552.5,sid meier's civilization v strategy linux||macos||pc 2k games aspyr media
Dishonored,2012,Action,Action||Shooter||Adventure||RPG,PC,PC||Xbox 360||Xbox One||PlayStation 3||PlayStation 4,Bethesda Softworks,Bethesda Softworks,4.4,N/A,Dishonored é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4456,11,medio,1646,688,7545.0,dishonored action||shooter||adventure||rpg pc||xbox 360||xbox one||playstation 3||playstation 4 bethesda softworks bethesda softworks
Assassin’s Creed IV: Black Flag,2013,Action,Action,PC,PC||Nintendo Switch||PlayStation 3||Xbox One||PlayStation 4||Xbox 360||Wii U,Ubisoft Entertainment,Ubisoft Montreal,4.1,+17,Assassin’s Creed IV: Black Flag é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.4435,26,longo,1544,688,7509.5,assassin’s creed iv: black flag action pc||nintendo switch||playstation 3||xbox one||playstation 4||xbox 360||wii u ubisoft entertainment ubisoft montreal
Bloodborne,2015,Action,Action||RPG,PlayStation 4,PlayStation 4,,Sony Interactive Entertainment,4.4,+17,Bloodborne é um jogo de Action lançado em 2015 para PlayStation 4. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4432,12,medio,1759,585,7504.5,bloodborne action||rpg playstation 4  sony interactive entertainment
Metal Gear Solid V: Ground Zeroes,2014,Action,Action||Shooter,PC,PC||Xbox 360||Xbox One||PlayStation 3||PlayStation 4,Konami,Konami Digital Entertainment,3.9,N/A,Metal Gear Solid V: Ground Zeroes é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.442,4,curto,1251,591,7484.0,metal gear solid v: ground zeroes action||shooter pc||xbox 360||xbox one||playstation 3||playstation 4 konami konami digital entertainment
